ID;Perioden;TotaleBevolking_1;Mannen_2;Vrouwen_3;TotaleBevolking_4;Ongehuwd_5;Gehuwd_6;Verweduwd_7;Gescheiden_8;TotaleBevolking_9;JongerDan20Jaar_10;k_20Tot40Jaar_11;k_40Tot65Jaar_12;k_65Tot80Jaar_13;k_80JaarOfOuder_14;JongerDan20Jaar_15;k_20Tot40Jaar_16;k_40Tot65Jaar_17;k_65Tot80Jaar_18;k_80JaarOfOuder_19;TotaleDruk_20;GroeneDruk_21;GrijzeDruk_22;TotaleBevolking_23;Mannen_24;Vrouwen_25;TotaleBevolking_26;NederlandseAchtergrond_27;MetMigratieachtergrond_28;MetMigratieachtergrondRelatief_29;WesterseMigratieachtergrond_30;TotaalNietWesters_31;Marokko_32;VoormaligNedAntillenAruba_33;Suriname_34;Turkije_35;OverigNietWesters_36;TotaalEersteGeneratie_37;WesterseEersteGeneratie_38;TotaalNietWesters_39;Marokko_40;VoormaligNedAntillenAruba_41;Suriname_42;Turkije_43;OverigNietWesters_44;TotaalTweedeGeneratie_45;WesterseTweedeGeneratie_46;TotaalNietWesters_47;Marokko_48;VoormaligNedAntillenAruba_49;Suriname_50;Turkije_51;OverigNietWesters_52;TotaalHuishoudens_53;Eenpersoonshuishoudens_54;Meerpersoonshuishoudens_55;GemiddeldeHuishoudensgrootte_56;PersonenInInstitutioneleHuishoudens_57;TotaleBevolkingsgroei_58;TotaleBevolkingsgroeiRelatief_59;Levendgeborenen_60;Overledenen_61;Geboorteoverschot_62;GeboorteoverschotRelatief_63;Immigratie_64;EmigratieInclusiefAdministratieveC_65;MigratiesaldoInclusiefAdministratie_66;MigratiesaldoInclusiefCoRelatief_67;OverigeCorrecties_68;Bevolkingsdichtheid_69
46;1996JJ00;15493889;7662289;7831600;15493889;6792423;7061695;878081;761690;15493889;3771609;4938040;4723368;1579397;481475;    24.3;    31.9;    30.5;    10.2;     3.1;    60.4;    39.0;    21.3;    37.6;    36.3;    38.8;15493889;12995174;2498715;    16.1;1327602;1171113;225088;86824;280615;271514;307072;1284106;522554;761552;140572;55808;179266;167248;218658;1214609;805048;409561;84516;31016;101349;104266;88414;6518;2124;4394;    2.34;247;73218;     4.7;189521;137561;51960;     3.3;108749;91945;16804;     1.1;4454;457
47;1997JJ00;15567107;7696803;7870304;15567107;6848973;7045382;881565;791187;15567107;3787364;4893195;4802709;1596420;487419;    24.3;    31.4;    30.9;    10.3;     3.1;    60.6;    39.1;    21.5;    37.7;    36.5;    39.0;15567107;13012818;2554289;    16.4;1333161;1221128;232841;88709;285524;279708;334346;1310705;524706;785999;142533;56366;179873;169034;238193;1243584;808455;435129;90308;32343;105651;110674;96153;6581;2158;4423;    2.33;242;87085;     5.6;192443;135783;56660;     3.6;109860;81973;27887;     1.8;2538;459
48;1998JJ00;15654192;7740074;7914118;15654192;6910940;7044539;882562;816151;15654192;3809170;4848625;4886678;1616527;493192;    24.3;    31.0;    31.2;    10.3;     3.2;    60.8;    39.1;    21.7;    37.9;    36.6;    39.1;15654192;13033792;2620400;    16.7;1341947;1278453;241982;92105;290467;289777;364122;1345719;529512;816207;145604;58203;180519;172416;259465;1274681;812435;462246;96378;33902;109948;117361;104657;6656;2201;4455;    2.32;237;106033;     6.8;199408;137482;61926;     3.9;122407;79289;43118;     2.7;989;462
49;1999JJ00;15760225;7793271;7966954;15760225;6980384;7058381;862537;858923;15760225;3839842;4809644;4979805;1634782;496152;    24.4;    30.5;    31.6;    10.4;     3.1;    61.0;    39.2;    21.8;    38.0;    36.8;    39.2;15760225;13060991;2699234;    17.1;1353199;1346035;252493;99130;296984;299662;397766;1390141;536380;853761;149469;63268;182467;175229;283328;1309093;816819;492274;103024;35862;114517;124433;114438;6745;2255;4491;    2.30;231;103725;     6.6;200445;140487;59958;     3.8;119151;78779;40372;     2.6;3395;465
50;2000JJ00;15863950;7846317;8017633;15863950;7048699;7071202;882071;861978;15863950;3873008;4761504;5076996;1652103;500339;    24.4;    30.0;    32.0;    10.4;     3.2;    61.2;    39.4;    21.9;    38.2;    37.0;    39.4;15863950;13088648;2775302;    17.5;1366535;1408767;262221;107197;302514;308890;427945;1431122;544890;886232;152540;69266;183249;177754;303423;1344180;821645;522535;109681;37931;119265;131136;124522;6801;2272;4529;    2.30;224;123125;     7.8;206619;140527;66092;     4.2;132850;78977;53873;     3.4;3160;468
51;2001JJ00;15987075;7909855;8077220;15987075;7138972;7079502;882162;886439;15987075;3908053;4727104;5177417;1657864;516637;    24.4;    29.6;    32.4;    10.4;     3.2;    61.4;    39.5;    22.0;    38.3;    37.1;    39.5;15987075;13116851;2870224;    18.0;1387036;1483188;272752;117089;308824;319600;464923;1488960;560403;928557;155669;76826;184737;181595;329730;1381264;826633;554631;117083;40263;124087;138005;135193;6867;2307;4560;    2.30;219;118210;     7.4;202603;140377;62226;     3.9;133404;82566;50838;     3.2;5146;472
52;2002JJ00;16105285;7971967;8133318;16105285;7241077;7063982;881876;918350;16105285;3940636;4685727;5280208;1667107;531607;    24.5;    29.1;    32.8;    10.4;     3.3;    61.6;    39.5;    22.1;    38.4;    37.3;    39.6;16105285;13140336;2964949;    18.4;1406596;1558353;284124;124870;315177;330709;503473;1547079;575379;971700;159605;82209;186262;185943;357681;1417870;831217;586653;124519;42661;128915;144766;145792;6934;2345;4589;    2.29;217;87287;     5.4;202083;142355;59728;     3.7;121250;96918;24332;     1.5;3227;475
53;2003JJ00;16192572;8015471;8177101;16192572;7321665;7052176;879742;938989;16192572;3968999;4624170;5378947;1676486;543970;    24.5;    28.6;    33.2;    10.4;     3.4;    61.9;    39.7;    22.2;    38.6;    37.4;    39.7;16192572;13153814;3038758;    18.8;1416156;1622602;295332;129312;320658;341400;535900;1585927;581361;1004566;163280;84395;187279;190219;379393;1452831;834795;618036;132052;44917;133379;151181;156507;6996;2384;4612;    2.28;215;65460;     4.0;200297;141936;58361;     3.6;104514;104831;-317;     0.0;7416;479
54;2004JJ00;16258032;8045914;8212118;16258032;7389408;7034504;877579;956541;16258032;3987557;4548566;5470755;1692856;558298;    24.5;    28.0;    33.6;    10.4;     3.4;    62.3;    39.8;    22.5;    38.7;    37.6;    39.8;16258032;13169880;3088152;    19.0;1419855;1668297;306219;130722;325281;351648;554427;1602730;581656;1021074;166464;84024;187990;194319;388277;1485422;838199;647223;139755;46698;137291;157329;166150;7049;2424;4625;    2.28;215;47494;     2.9;194007;136553;57454;     3.5;94019;110235;-16216;    -1.0;6256;481
55;2005JJ00;16305526;8065979;8239547;16305526;7450192;7002557;876605;976172;16305526;3987957;4467783;5561116;1715097;573573;    24.5;    27.4;    34.1;    10.5;     3.5;    62.6;    39.8;    22.8;    39.0;    37.9;    40.0;16305526;13182809;3122717;    19.2;1423675;1699042;315821;130538;329430;358846;564407;1606664;582278;1024386;168400;82321;188367;195678;389620;1516053;841397;674656;147421;48217;141063;163168;174787;7091;2449;4642;    2.27;213;28684;     1.8;187910;136402;51508;     3.2;92297;119725;-27428;    -1.7;4604;483
