"Bevolking; leeftijd, migratieachtergrond, geslacht en regio, 1 januari";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perioden;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018
Onderwerpen;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking;Totale bevolking
Onderwerpen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen en vrouwen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Mannen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen;Vrouwen
Leeftijd;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal;Totaal
Migratieachtergrond;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika;Totaal;Nederlandse achtergrond;Met migratieachtergrond;Westerse migratieachtergrond;Niet-westerse migratieachtergrond;China;Marokko;Suriname;Zuid-Afrika
Regio's;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal
Groningen (PV);576668;502459;74209;40715;33494;1820;1602;6176;435;286495;249578;36917;19243;17674;863;841;3120;213;290173;252881;37292;21472;15820;957;761;3056;222;579036;502352;76684;41944;34740;1874;1618;6200;455;287924;249806;38118;19792;18326;881;842;3123;225;291112;252546;38566;22152;16414;993;776;3077;230;580875;502371;78504;43122;35382;2024;1675;6259;461;288754;249800;38954;20474;18480;962;865;3155;229;292121;252571;39550;22648;16902;1062;810;3104;232;581705;501767;79938;44029;35909;2144;1701;6254;482;289275;249586;39689;21013;18676;1013;868;3164;245;292430;252181;40249;23016;17233;1131;833;3090;237;582728;500900;81828;44689;37139;2197;1751;6265;506;289820;249279;40541;21233;19308;1029;882;3156;251;292908;251621;41287;23456;17831;1168;869;3109;255;583942;500157;83785;44818;38967;2251;1760;6261;522;290840;249126;41714;21299;20415;1052;880;3156;253;293102;251031;42071;23519;18552;1199;880;3105;269;583721;498137;85584;44996;40588;2319;1785;6246;545;291058;248254;42804;21449;21355;1102;912;3148;267;292663;249883;42780;23547;19233;1217;873;3098;278;583581;495910;87671;45882;41789;2488;1783;6252;550;291291;247444;43847;21940;21907;1168;903;3148;273;292290;248466;43824;23942;19882;1320;880;3104;277;582944;493072;89872;46458;43414;2654;1819;6248;553;290938;246213;44725;22155;22570;1254;925;3141;274;292006;246859;45147;24303;20844;1400;894;3107;279
Friesland (PV);646305;591687;54618;31196;23422;1356;2146;2984;435;322911;295841;27070;14903;12167;664;1153;1468;213;323394;295846;27548;16293;11255;692;993;1516;222;647282;591901;55381;31724;23657;1425;2161;3026;440;323439;296157;27282;15024;12258;690;1162;1492;218;323843;295744;28099;16700;11399;735;999;1534;222;647214;591195;56019;32062;23957;1426;2152;3043;449;323495;295940;27555;15175;12380;711;1155;1495;223;323719;295255;28464;16887;11577;715;997;1548;226;646862;590396;56466;32132;24334;1421;2147;3054;464;323442;295678;27764;15231;12533;708;1159;1487;226;323420;294718;28702;16901;11801;713;988;1567;238;646317;589182;57135;32062;25073;1411;2168;3073;470;323242;295219;28023;15186;12837;698;1164;1489;233;323075;293963;29112;16876;12236;713;1004;1584;237;646257;588388;57869;32094;25775;1352;2167;3051;479;323398;294861;28537;15274;13263;663;1161;1497;239;322859;293527;29332;16820;12512;689;1006;1554;240;646040;586957;59083;32224;26859;1376;2180;3094;490;323376;294232;29144;15328;13816;675;1163;1516;241;322664;292725;29939;16896;13043;701;1017;1578;249;646874;585408;61466;32306;29160;1394;2229;3102;513;324048;293609;30439;15390;15049;677;1184;1520;255;322826;291799;31027;16916;14111;717;1045;1582;258;647268;583889;63379;32501;30878;1364;2255;3109;514;324491;293097;31394;15441;15953;677;1188;1540;251;322777;290792;31985;17060;14925;687;1067;1569;263
Drenthe (PV);490981;447392;43589;27728;15861;982;1476;1833;342;242778;221358;21420;12985;8435;526;763;929;173;248203;226034;22169;14743;7426;456;713;904;169;491411;447332;44079;27739;16340;989;1511;1867;357;243084;221336;21748;12990;8758;531;783;955;180;248327;225996;22331;14749;7582;458;728;912;177;490807;446559;44248;27655;16593;992;1525;1856;355;243134;221283;21851;12932;8919;545;803;958;180;247673;225276;22397;14723;7674;447;722;898;175;489918;445500;44418;27655;16763;1005;1532;1877;367;242757;220966;21791;12957;8834;542;813;954;187;247161;224534;22627;14698;7929;463;719;923;180;488988;444170;44818;27737;17081;993;1539;1884;371;242230;220286;21944;13003;8941;542;814;975;190;246758;223884;22874;14734;8140;451;725;909;181;488576;443234;45342;27794;17548;970;1515;1894;383;242262;219936;22326;13052;9274;515;801;976;200;246314;223298;23016;14742;8274;455;714;918;183;488629;441983;46646;27771;18875;1023;1514;1883;394;242483;219436;23047;13078;9969;537;784;960;206;246146;222547;23599;14693;8906;486;730;923;188;491792;441739;50053;27726;22327;1047;1541;1900;402;243998;219305;24693;13020;11673;546;802;976;213;247794;222434;25360;14706;10654;501;739;924;189;492100;441746;50354;27794;22560;1073;1531;1893;418;244216;219362;24854;13030;11824;554;797;972;217;247884;222384;25500;14764;10736;519;734;921;201
Overijssel (PV);1130345;969852;160493;78992;81501;3003;4290;5273;882;564960;484846;80114;37856;42258;1528;2240;2619;464;565385;485006;80379;41136;39243;1475;2050;2654;418;1134465;971943;162522;79918;82604;3155;4283;5313;918;566903;486012;80891;38278;42613;1601;2241;2651;482;567562;485931;81631;41640;39991;1554;2042;2662;436;1137668;973766;163902;80146;83756;3224;4257;5360;928;568764;487255;81509;38404;43105;1655;2218;2684;488;568904;486511;82393;41742;40651;1569;2039;2676;440;1139350;974915;164435;80178;84257;3230;4279;5388;935;569690;488005;81685;38407;43278;1650;2235;2705;498;569660;486910;82750;41771;40979;1580;2044;2683;437;1139697;974671;165026;79939;85087;3255;4296;5395;943;570214;488206;82008;38276;43732;1665;2248;2688;496;569483;486465;83018;41663;41355;1590;2048;2707;447;1140652;974633;166019;79826;86193;3266;4308;5398;974;570894;488337;82557;38287;44270;1624;2253;2690;509;569758;486296;83462;41539;41923;1642;2055;2708;465;1144280;975024;169256;79691;89565;3328;4299;5456;1009;573324;488854;84470;38264;46206;1669;2245;2731;528;570956;486170;84786;41427;43359;1659;2054;2725;481;1147687;975380;172307;79983;92324;3318;4308;5513;1057;575428;489214;86214;38483;47731;1674;2253;2758;543;572259;486166;86093;41500;44593;1644;2055;2755;514;1151501;975745;175756;80421;95335;3382;4371;5577;1063;577431;489564;87867;38686;49181;1714;2282;2788;549;574070;486181;87889;41735;46154;1668;2089;2789;514
