"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"CZE,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.876,"
"DNK,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.673,"
"FIN,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.815,"
"FRA,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2014"",0.47,"
"FRA,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2015"",0.466,"
"DEU,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2016"",0.75,"
"HUN,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.583,"
"IRL,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.456,"
"LUX,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.57,"
"NLD,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.496,"
"SVK,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.781,"
"SWE,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2015"",0.722,"
"GBR,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2015"",0.629,"
"EST,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.763,"
"LVA,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.57,"
"LTU,""FORESTRESOURCE"",""USEINTENSITY"",""RT"",""A"",""2017"",0.591,"
