Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA,""Live Animals"",""3"",""Albania"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""475215"","""",""Official data"""
"QA,""Live Animals"",""3"",""Albania"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""7835"","""",""Official data"""
"QA,""Live Animals"",""3"",""Albania"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""1047"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""3"",""Albania"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""933121"","""",""Official data"""
"QA,""Live Animals"",""3"",""Albania"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""180087"","""",""Official data"""
"QA,""Live Animals"",""3"",""Albania"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""1925511"","""",""Official data"""
"QA,""Live Animals"",""3"",""Albania"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""409"","""",""Official data"""
"QA,""Live Animals"",""11"",""Austria"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""1954391"","""",""Official data"""
"QA,""Live Animals"",""11"",""Austria"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""16783"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""11"",""Austria"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""48"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""11"",""Austria"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""82735"","""",""Official data"""
"QA,""Live Animals"",""11"",""Austria"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""2792803"","""",""Official data"""
"QA,""Live Animals"",""11"",""Austria"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""378381"","""",""Official data"""
"QA,""Live Animals"",""11"",""Austria"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""601"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""57"",""Belarus"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""4362500"","""",""Official data"""
"QA,""Live Animals"",""57"",""Belarus"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""46000"",""F"",""FAO estimate"""
"QA,""Live Animals"",""57"",""Belarus"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""1800"",""F"",""FAO estimate"""
"QA,""Live Animals"",""57"",""Belarus"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""64700"","""",""Official data"""
"QA,""Live Animals"",""57"",""Belarus"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""3155700"","""",""Official data"""
"QA,""Live Animals"",""57"",""Belarus"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""89900"","""",""Official data"""
"QA,""Live Animals"",""57"",""Belarus"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""1660"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""255"",""Belgium"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""2385988"","""",""Official data"""
"QA,""Live Animals"",""255"",""Belgium"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""26905"","""",""Official data"""
"QA,""Live Animals"",""255"",""Belgium"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""27"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""255"",""Belgium"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""64000"",""F"",""FAO estimate"""
"QA,""Live Animals"",""255"",""Belgium"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""6108077"","""",""Official data"""
"QA,""Live Animals"",""255"",""Belgium"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""85390"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""255"",""Belgium"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""254"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""444522"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""16282"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""51"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""73287"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""548011"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""1016735"","""",""Official data"""
"QA,""Live Animals"",""80"",""Bosnia and Herzegovina"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""90"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""557866"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""12448"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""1128"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""237543"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""616426"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""1360087"","""",""Official data"""
"QA,""Live Animals"",""27"",""Bulgaria"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""32"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""450757"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""9840"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""51"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""76771"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""1121032"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""636808"","""",""Official data"""
"QA,""Live Animals"",""98"",""Croatia"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""493"","""",""Official data"""
"QA,""Live Animals"",""167"",""Czechia"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""1421242"","""",""Official data"""
"QA,""Live Animals"",""167"",""Czechia"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""20500"",""F"",""FAO estimate"""
"QA,""Live Animals"",""167"",""Czechia"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""434"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""167"",""Czechia"",""5111"",""Stocks"",""1016"",""Goats"",""2017"",""2017"",""Head"",""26781"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""167"",""Czechia"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""1490775"","""",""Official data"""
"QA,""Live Animals"",""167"",""Czechia"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""217141"","""",""Official data"""
"QA,""Live Animals"",""167"",""Czechia"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""385"",""Im"",""FAO data based on imputation methodology"""
"QA,""Live Animals"",""54"",""Denmark"",""5111"",""Stocks"",""866"",""Cattle"",""2017"",""2017"",""Head"",""1545417"","""",""Official data"""
"QA,""Live Animals"",""54"",""Denmark"",""5112"",""Stocks"",""1057"",""Chickens"",""2017"",""2017"",""1000 Head"",""20733"","""",""Official data"""
"QA,""Live Animals"",""54"",""Denmark"",""5112"",""Stocks"",""1068"",""Ducks"",""2017"",""2017"",""1000 Head"",""174"","""",""Official data"""
"QA,""Live Animals"",""54"",""Denmark"",""5111"",""Stocks"",""1034"",""Pigs"",""2017"",""2017"",""Head"",""12307667"","""",""Official data"""
"QA,""Live Animals"",""54"",""Denmark"",""5111"",""Stocks"",""976"",""Sheep"",""2017"",""2017"",""Head"",""154129"","""",""Official data"""
"QA,""Live Animals"",""54"",""Denmark"",""5112"",""Stocks"",""1079"",""Turkeys"",""2017"",""2017"",""1000 Head"",""304"","""",""Official data"""
