ID;SoortMisdrijf;RegioS;Perioden;TotaalGeregistreerdeMisdrijven_1;GeregistreerdeMisdrijvenRelatief_2;GeregistreerdeMisdrijvenPer1000Inw_3;TotaalOpgehelderdeMisdrijven_4;OpgehelderdeMisdrijvenRelatief_5;RegistratiesVanVerdachten_6
54;0;PV20  ;2010JJ00;38320;100;    66.4;13200;    34.4;16605
55;0;PV20  ;2011JJ00;37190;100;    64.2;12595;    33.9;15635
56;0;PV20  ;2012JJ00;35875;100;    61.8;11560;    32.2;14085
57;0;PV20  ;2013JJ00;34450;100;    59.2;10340;    30.0;12570
58;0;PV20  ;2014JJ00;30715;100;    52.7;8845;    28.8;10730
59;0;PV20  ;2015JJ00;30065;100;    51.5;8255;    27.5;10155
60;0;PV20  ;2016JJ00;29570;100;    50.7;7435;    25.1;8985
61;0;PV20  ;2017JJ00;25250;100;    43.3;7335;    29.1;8870
62;0;PV20  ;2018JJ00;24100;100;    41.3;6300;    26.1;8480
63;0;PV21  ;2010JJ00;31795;100;    49.2;11030;    34.7;12370
64;0;PV21  ;2011JJ00;31950;100;    49.4;10825;    33.9;12565
65;0;PV21  ;2012JJ00;29905;100;    46.2;9690;    32.4;11120
66;0;PV21  ;2013JJ00;28760;100;    44.5;9030;    31.4;10655
67;0;PV21  ;2014JJ00;27620;100;    42.7;8785;    31.8;10170
68;0;PV21  ;2015JJ00;26585;100;    41.1;8415;    31.6;10065
69;0;PV21  ;2016JJ00;24600;100;    38.1;7585;    30.8;8980
70;0;PV21  ;2017JJ00;21210;100;    32.8;7025;    33.1;8465
71;0;PV21  ;2018JJ00;21875;100;    33.8;6445;    29.5;8445
72;0;PV22  ;2010JJ00;26085;100;    53.1;7490;    28.7;9175
73;0;PV22  ;2011JJ00;26095;100;    53.1;7710;    29.5;9485
74;0;PV22  ;2012JJ00;25180;100;    51.3;7510;    29.8;9320
75;0;PV22  ;2013JJ00;23110;100;    47.2;6480;    28.0;8005
76;0;PV22  ;2014JJ00;21470;100;    43.9;6125;    28.5;7975
77;0;PV22  ;2015JJ00;20090;100;    41.1;5515;    27.5;7050
78;0;PV22  ;2016JJ00;18660;100;    38.2;4865;    26.1;6210
79;0;PV22  ;2017JJ00;16455;100;    33.5;4495;    27.3;5490
80;0;PV22  ;2018JJ00;15565;100;    31.6;3540;    22.7;4955
81;0;PV23  ;2010JJ00;63765;100;    56.4;18335;    28.8;22405
82;0;PV23  ;2011JJ00;64610;100;    57.0;18465;    28.6;22280
83;0;PV23  ;2012JJ00;63280;100;    55.6;17480;    27.6;21370
84;0;PV23  ;2013JJ00;60990;100;    53.5;15725;    25.8;18820
85;0;PV23  ;2014JJ00;54065;100;    47.4;13925;    25.8;16940
86;0;PV23  ;2015JJ00;50580;100;    44.3;13425;    26.5;15815
87;0;PV23  ;2016JJ00;48590;100;    42.5;12900;    26.5;15120
