"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",559.756,"
"AUT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",557.229,"
"AUT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",565.694,"
"AUT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",574.395,"
"BEL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",424.452,"
"BEL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",411.324,"
"BEL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",417.841,"
"BEL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",407.635,"
"CZE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",307.645,"
"CZE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",314.732,"
"CZE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",337.351,"
"CZE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",343.083,"
"DNK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",785.676,"
"DNK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",788.406,"
"DNK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",779.079,"
"FIN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",481.688,"
"FIN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",499.507,"
"FIN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",502.974,"
"FIN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",509.048,"
"FRA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",518.048,""E"""
"FRA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",516.712,"
"FRA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",515.44,""E"""
"FRA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",514.227,""E"""
"DEU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",627.098,"
"DEU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",631.825,"
"DEU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",636.431,"
"DEU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",637.429,""E"""
"GRC,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",471.827,"
"GRC,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",470.413,"
"GRC,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",479.894,"
"GRC,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",485.225,"
"HUN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",386.719,"
"HUN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",379.398,"
"HUN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",381.513,"
"HUN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",387.592,"
"IRL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",558.862,""B"""
"IRL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",584.664,"
"ITA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",497.636,"
"ITA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",496.167,"
"ITA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",506.681,"
"ITA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",498.367,"
"LUX,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",625.813,"
"LUX,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",610.42,"
"LUX,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",615.93,"
"LUX,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",620.253,""E"""
"NLD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",526.604,"
"NLD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",523.423,"
"NLD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",521.447,"
"NLD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",515.792,"
"POL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",269.762,"
"POL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",283.887,""E"""
"POL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",304.884,""E"""
"POL,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",313.565,""E"""
"PRT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",449.85,"
"PRT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",457.726,""B"""
"PRT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",472.179,"
"PRT,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",485.249,"
"SVK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",318.984,"
"SVK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",328.015,"
"SVK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",347.071,"
"SVK,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",377.707,"
"ESP,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",447.884,"
"ESP,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",456.01,"
"ESP,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",464.788,"
"ESP,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",464.455,""E"""
"SWE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",438.241,"
"SWE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",448.251,"
"SWE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",446.505,"
"SWE,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",459.201,"
