"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"SVK,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",65.83,"
"AUT,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2014"",94.967610483771,"
"CZE,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2015"",81,"
"FRA,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2014"",82.1,""E"""
"IRL,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",65.5,"
"GRC,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2014"",92.83,"
"DNK,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",91.629997253418,"
"SWE,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2014"",87,"
"EST,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",82.8,"
"HUN,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",78.140361546974,"
"LUX,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",98.5,"
"SVN,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2015"",57.591064221064,"
"ESP,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2014"",96.9,"
"NLD,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2015"",99.4,"
"POL,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",73.5,"
"LVA,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",77.26,"
"LTU,""WASTEWATERTREAT"",""TOT"",""PC"",""A"",""2016"",77.456071568515,"
